date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:20:30	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074bd6-5f0af85e2c5eb811;gz%22	https://econnexion.online/robots.txt		(from )
16:20:31	887/887	---M-Z	200	added ('OK')	text/html	etag:%22377-681ba558-14b12bbdc2e7ea0f;gz%22	https://econnexion.online/cebbf5CAGd1dd3a/	C:/Users/HP/Desktop/project/banque/other_copy_new/econnexion.online/cebbf5CAGd1dd3a/index.html	(from )
16:20:31	7860/7860	---M-Z	200	added ('OK')	text/html	etag:%221eb4-681ba558-bc4631a1e487dadf;gz%22	https://econnexion.online/cebbf5CAGd1dd3a/connexion.html	C:/Users/HP/Desktop/project/banque/other_copy_new/econnexion.online/cebbf5CAGd1dd3a/connexion.html	(from https://econnexion.online/cebbf5CAGd1dd3a/)
16:20:32	144877/144877	---M-Z	200	added ('OK')	text/css	etag:W/%22235ed-iVElpFIqOxDuetoG7mUDWHy/lcU%22	https://cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/css/bootstrap.min.css	C:/Users/HP/Desktop/project/banque/other_copy_new/cdn.jsdelivr.net/npm/bootstrap@4.0.0/dist/css/bootstrap.min.css	(from https://econnexion.online/cebbf5CAGd1dd3a/connexion.html)
16:20:32	3151845/3151845	---M--	200	added ('OK')	image/png	etag:%223017e5-681ba558-fae2a79e65d36f4f;;;%22	https://econnexion.online/cebbf5CAGd1dd3a/assets/images/ss.png	C:/Users/HP/Desktop/project/banque/other_copy_new/econnexion.online/cebbf5CAGd1dd3a/assets/images/ss.png	(from https://econnexion.online/cebbf5CAGd1dd3a/)
16:20:32	21457/21457	---M-Z	200	added ('OK')	text/html	etag:%2253d1-681ba619-e3b5ae3cec50c46f;gz%22	https://econnexion.online/cebbf5CAGd1dd3a/solde.html	C:/Users/HP/Desktop/project/banque/other_copy_new/econnexion.online/cebbf5CAGd1dd3a/solde.html	(from https://econnexion.online/cebbf5CAGd1dd3a/connexion.html)
16:20:32	64446/64446	---M--	200	added ('OK')	image/png	etag:%22fbbe-681ba558-b66e954cb1b4de2d;;;%22	https://econnexion.online/cebbf5CAGd1dd3a/assets/images/logo.png	C:/Users/HP/Desktop/project/banque/other_copy_new/econnexion.online/cebbf5CAGd1dd3a/assets/images/logo.png	(from https://econnexion.online/cebbf5CAGd1dd3a/connexion.html)
16:20:33	102025/102025	---M-Z	200	added ('OK')	text/css	etag:%226421d693-547f%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	C:/Users/HP/Desktop/project/banque/other_copy_new/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css	(from https://econnexion.online/cebbf5CAGd1dd3a/solde.html)
16:20:33	206944/206944	---M-Z	200	added ('OK')	application/javascript	etag:W/%2232860-yn7HE6wYxO0DSriSgklawkhwxtY%22	https://cdn.jsdelivr.net/npm/chart.js	C:/Users/HP/Desktop/project/banque/other_copy_new/cdn.jsdelivr.net/npm/chart.js	(from https://econnexion.online/cebbf5CAGd1dd3a/solde.html)
16:20:33	399/399	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2029%20Apr%202025%2017:16:19%20GMT	https://unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	C:/Users/HP/Desktop/project/banque/other_copy_new/unpkg.com/ionicons@5.5.2/dist/ionicons/ionicons.esm.js	(from https://econnexion.online/cebbf5CAGd1dd3a/solde.html)
